tool,rep,filter,bits,hits,seconds,addr_per_sec,gpu_watts,cpu_watts
honion,96,hon2on,30,1044,90,1.245541e+10,590.8,110.1
prefix32,96,hon2on,30,810,90,9.663676e+09,591.4,85.8
mkp224o,97,hon2o,25,710,90,2.647072e+08,140.0,338.7
honion,97,hon2on,30,1028,90,1.226452e+10,588.5,111.9
prefix32,97,hon2on,30,896,90,1.068970e+10,590.2,87.2
mkp224o,98,hon2o,25,733,90,2.732822e+08,140.6,338.7
honion,98,hon2on,30,1071,90,1.277753e+10,587.0,111.2
prefix32,98,hon2on,30,862,90,1.028406e+10,589.9,91.2
mkp224o,99,hon2o,25,705,90,2.628431e+08,140.1,339.2
honion,99,hon2on,30,1026,90,1.224066e+10,591.4,116.0
prefix32,99,hon2on,30,860,90,1.026020e+10,591.4,86.6
mkp224o,100,hon2o,25,729,90,2.717909e+08,140.5,338.2
honion,100,hon2on,30,1050,90,1.252699e+10,588.6,109.8
prefix32,100,hon2on,30,829,90,9.890355e+09,590.6,86.7
